date_day,loc,total_cases,total_deaths,total_vaccinations,total_population
2020-01,AFR,0.0,0.0,0.0,1426160609.0
2020-02,AFR,3.0,0.0,0.0,1426160609.0
2020-03,AFR,5658.0,322.0,0.0,1426160609.0
2020-04,AFR,31978.0,1650.0,0.0,1426160609.0
2020-05,AFR,106939.0,2445.0,0.0,1426160609.0
2020-06,AFR,256265.0,8127.0,0.0,1426160609.0
2020-07,AFR,516509.0,9562.0,0.0,1426160609.0
2020-08,AFR,335551.0,10042.0,0.0,1426160609.0
2020-09,AFR,229879.0,6361.0,0.0,1426160609.0
2020-10,AFR,302963.0,5802.0,0.0,1426160609.0
2020-11,AFR,394177.0,7949.0,0.0,1426160609.0
2020-12,AFR,567930.0,12797.0,0.0,1426160609.0
2021-01,AFR,829867.0,25579.0,165253.0,1426160609.0
2021-02,AFR,345901.0,13062.0,3675804.0,1426160609.0
2021-03,AFR,327340.0,9246.0,8195129.0,1426160609.0
2021-04,AFR,347579.0,8983.0,8104861.0,1426160609.0
2021-05,AFR,287495.0,8855.0,13745990.0,1426160609.0
2021-06,AFR,643891.0,12085.0,16547977.0,1426160609.0
2021-07,AFR,1220614.0,27358.0,17701823.0,1426160609.0
2021-08,AFR,1122757.0,26534.0,35449141.0,1426160609.0
2021-09,AFR,524685.0,14815.0,44350972.0,1426160609.0
2021-10,AFR,204774.0,7113.0,46017113.0,1426160609.0
2021-11,AFR,186801.0,4945.0,49661203.0,1426160609.0
2021-12,AFR,1061679.0,5251.0,62276470.0,1426160609.0
2022-01,AFR,1241829.0,10609.0,50407892.0,1426160609.0
2022-02,AFR,606571.0,9931.0,52330946.0,1426160609.0
2022-03,AFR,233678.0,3386.0,34935202.0,1426160609.0
2022-04,AFR,160186.0,1027.0,26003135.0,1426736614.0
2022-05,AFR,236726.0,1154.0,31980561.0,1426160609.0
2022-06,AFR,187690.0,1064.0,51251494.0,1426160609.0
2022-07,AFR,222430.0,1008.0,40932153.0,1426160609.0
2022-08,AFR,88706.0,517.0,27196729.0,1426160609.0
2022-09,AFR,47056.0,274.0,24455462.0,1426160609.0
2022-10,AFR,33104.0,202.0,35541357.0,1426160609.0
2022-11,AFR,49455.0,212.0,31064260.0,1426160609.0
2022-12,AFR,42558.0,246.0,32756450.0,1426160609.0
2023-01,AFR,36624.0,162.0,16500215.0,1426160609.0
2023-02,AFR,17537.0,80.0,16461384.0,1426160609.0
2023-03,AFR,18819.0,86.0,20578198.0,1426160609.0
2023-04,AFR,9099.0,68.0,12719540.0,1426160609.0
2023-05,AFR,11414.0,60.0,24861745.0,1426160609.0
2023-06,AFR,8679.0,31.0,9239092.0,1426160609.0
2023-07,AFR,3997.0,16.0,5037942.0,1426160609.0
2023-08,AFR,3363.0,12.0,3536444.0,1426160609.0
2023-09,AFR,4229.0,7.0,3458738.0,1426160609.0
2023-10,AFR,984.0,2.0,336950.0,1426160609.0
2023-11,AFR,0.0,0.0,0.0,1426160609.0
