date_day,loc,total_cases,total_deaths,total_vaccinations,total_population
2020-01,ASIA,9823.0,213.0,0.0,4720760210.0
2020-02,ASIA,73497.0,2681.0,0.0,4720760210.0
2020-03,ASIA,86460.0,4003.0,0.0,4720760210.0
2020-04,ASIA,334418.0,11339.0,0.0,4720760210.0
2020-05,ASIA,601599.0,12004.0,0.0,4720760210.0
2020-06,ASIA,1150241.0,25545.0,0.0,4720760210.0
2020-07,ASIA,1925651.0,38232.0,0.0,4720760210.0
2020-08,ASIA,2995166.0,46164.0,0.0,4720760210.0
2020-09,ASIA,3712163.0,51871.0,0.0,4720760210.0
2020-10,ASIA,3274607.0,48873.0,0.0,4720760210.0
2020-11,ASIA,3177439.0,48946.0,0.0,4720760210.0
2020-12,ASIA,3161359.0,46084.0,3685981.0,4720760210.0
2021-01,ASIA,2424773.0,35709.0,32686810.0,4721143046.0
2021-02,ASIA,1899188.0,25101.0,58416667.0,4721838226.0
2021-03,ASIA,3377848.0,30873.0,140323335.0,4721838226.0
2021-04,ASIA,10688909.0,89334.0,266098252.0,4721838226.0
2021-05,ASIA,12053536.0,167260.0,495545385.0,4721838226.0
2021-06,ASIA,4620180.0,107175.0,830989479.0,4721838226.0
2021-07,ASIA,6158654.0,104916.0,750716865.0,4721838226.0
2021-08,ASIA,8087800.0,138899.0,890111518.0,4721838226.0
2021-09,ASIA,5839961.0,88670.0,717662697.0,4721838226.0
2021-10,ASIA,3699129.0,49076.0,545808908.0,4721838226.0
2021-11,ASIA,2799248.0,42811.0,652786659.0,4721838226.0
2021-12,ASIA,2495589.0,40975.0,785273635.0,4721838226.0
2022-01,ASIA,15514869.0,36551.0,671928016.0,4721838226.0
2022-02,ASIA,16744250.0,57155.0,465859695.0,4721838226.0
2022-03,ASIA,22469713.0,54328.0,398291262.0,4721838226.0
2022-04,ASIA,8101077.0,21572.0,240052140.0,4721838226.0
2022-05,ASIA,4468876.0,7731.0,144017831.0,4721838226.0
2022-06,ASIA,3599052.0,7425.0,158145987.0,4721838226.0
2022-07,ASIA,8812558.0,9191.0,177732478.0,4721838226.0
2022-08,ASIA,13134974.0,18724.0,172549205.0,4721838226.0
2022-09,ASIA,6058083.0,12679.0,110624757.0,4721838226.0
2022-10,ASIA,3881943.0,7868.0,69386440.0,4721838226.0
2022-11,ASIA,5312790.0,10928.0,53361281.0,4721838226.0
2022-12,ASIA,81822590.0,33988.0,89276239.0,4721838226.0
2023-01,ASIA,18160227.0,74915.0,69176982.0,4721455390.0
2023-02,ASIA,1680275.0,11474.0,20115267.0,4721455390.0
2023-03,ASIA,937078.0,3953.0,26608231.0,4721455390.0
2023-04,ASIA,1131407.0,3073.0,11853955.0,4721455390.0
2023-05,ASIA,1030184.0,2217.0,8007050.0,4720760210.0
2023-06,ASIA,567030.0,1158.0,8350807.0,4720760210.0
2023-07,ASIA,1141439.0,768.0,5162694.0,4720760210.0
2023-08,ASIA,1288282.0,1040.0,2978694.0,4720760210.0
2023-09,ASIA,197369.0,444.0,1942402.0,4713271347.0
2023-10,ASIA,74177.0,1595.0,1091135.0,4689377951.0
2023-11,ASIA,0.0,0.0,3325.0,4689377951.0
