date_day,loc,total_cases,total_deaths,total_vaccinations,total_population
2020-01,JPN,12.0,0.0,0.0,123951696.0
2020-02,JPN,218.0,5.0,0.0,123951696.0
2020-03,JPN,1723.0,51.0,0.0,123951696.0
2020-04,JPN,12135.0,359.0,0.0,123951696.0
2020-05,JPN,2763.0,476.0,0.0,123951696.0
2020-06,JPN,1742.0,83.0,0.0,123951696.0
2020-07,JPN,15779.0,32.0,0.0,123951696.0
2020-08,JPN,33493.0,273.0,0.0,123951696.0
2020-09,JPN,15145.0,285.0,0.0,123951696.0
2020-10,JPN,17382.0,191.0,0.0,123951696.0
2020-11,JPN,46368.0,364.0,0.0,123951696.0
2020-12,JPN,83544.0,1295.0,0.0,123951696.0
2021-01,JPN,159214.0,2240.0,0.0,123951696.0
2021-02,JPN,43255.0,2206.0,27678.0,123951696.0
2021-03,JPN,42000.0,1253.0,857027.0,123951696.0
2021-04,JPN,116829.0,1116.0,2692757.0,123951696.0
2021-05,JPN,155111.0,2819.0,11152571.0,123951696.0
2021-06,JPN,53265.0,1733.0,34001095.0,123951696.0
2021-07,JPN,125845.0,411.0,45980876.0,123951696.0
2021-08,JPN,560330.0,849.0,38518286.0,123951696.0
2021-09,JPN,215156.0,1607.0,33512325.0,123951696.0
2021-10,JPN,21555.0,620.0,25032244.0,123951696.0
2021-11,JPN,4440.0,92.0,7556074.0,123951696.0
2021-12,JPN,6484.0,33.0,2537335.0,123951696.0
2022-01,JPN,997040.0,399.0,5082622.0,123951696.0
2022-02,JPN,2275064.0,4841.0,22100189.0,123951696.0
2022-03,JPN,1547028.0,4464.0,27751493.0,123951696.0
2022-04,JPN,1323588.0,1470.0,15826872.0,123951696.0
2022-05,JPN,973774.0,1051.0,8108204.0,123951696.0
2022-06,JPN,479238.0,663.0,4154442.0,123951696.0
2022-07,JPN,3223490.0,1304.0,13328871.0,123951696.0
2022-08,JPN,6218994.0,7295.0,17959068.0,123951696.0
2022-09,JPN,2457212.0,4909.0,8675384.0,123951696.0
2022-10,JPN,1066376.0,1922.0,7060588.0,123951696.0
2022-11,JPN,2497574.0,3302.0,17852879.0,123951696.0
2022-12,JPN,4311904.0,7500.0,22886941.0,123951696.0
2023-01,JPN,3380717.0,10886.0,6980461.0,123951696.0
2023-02,JPN,704777.0,4087.0,2645644.0,123951696.0
2023-03,JPN,250880.0,1422.0,1060668.0,123951696.0
2023-04,JPN,272573.0,648.0,362110.0,123951696.0
2023-05,JPN,89555.0,152.0,39338.0,123951696.0
2023-06,JPN,0.0,0.0,0.0,123951696.0
2023-07,JPN,0.0,0.0,0.0,123951696.0
2023-08,JPN,0.0,0.0,0.0,123951696.0
2023-09,JPN,0.0,0.0,0.0,123951696.0
2023-10,JPN,0.0,0.0,0.0,123951696.0
2023-11,JPN,0.0,0.0,0.0,123951696.0
