date_day,loc,total_cases,total_deaths,total_vaccinations,total_population
2020-01,NAM,11.0,0.0,0.0,600323657.0
2020-02,NAM,79.0,1.0,0.0,600323657.0
2020-03,NAM,185427.0,3531.0,0.0,600323657.0
2020-04,NAM,943311.0,64588.0,0.0,600323657.0
2020-05,NAM,916622.0,65339.0,0.0,600323657.0
2020-06,NAM,1056250.0,46485.0,0.0,600323657.0
2020-07,NAM,2265908.0,56595.0,0.0,600323657.0
2020-08,NAM,1865161.0,54836.0,0.0,600323657.0
2020-09,NAM,1512017.0,37590.0,0.0,600323657.0
2020-10,NAM,2204133.0,39283.0,0.0,600323657.0
2020-11,NAM,4857904.0,61049.0,0.0,600323657.0
2020-12,NAM,6892957.0,106782.0,4261350.0,600323657.0
2021-01,NAM,7177653.0,147120.0,31767631.0,600323657.0
2021-02,NAM,2908536.0,97795.0,50387133.0,600323657.0
2021-03,NAM,2171962.0,50193.0,91097294.0,600323657.0
2021-04,NAM,2352524.0,32615.0,112402651.0,600323657.0
2021-05,NAM,1461025.0,27098.0,84756501.0,600323657.0
2021-06,NAM,761142.0,17103.0,65622116.0,600323657.0
2021-07,NAM,2182785.0,22359.0,59964230.0,600323657.0
2021-08,NAM,5316918.0,61943.0,64363214.0,600323657.0
2021-09,NAM,5121958.0,80752.0,57357787.0,600323657.0
2021-10,NAM,3147325.0,63878.0,65299588.0,600323657.0
2021-11,NAM,2717593.0,38989.0,68448880.0,600323657.0
2021-12,NAM,6084987.0,48987.0,79099520.0,600323657.0
2022-01,NAM,23773341.0,80064.0,66136652.0,600323657.0
2022-02,NAM,5433400.0,80358.0,38072543.0,600323657.0
2022-03,NAM,1474642.0,34752.0,22998363.0,600323657.0
2022-04,NAM,1639016.0,15973.0,26451287.0,600323657.0
2022-05,NAM,3221297.0,13321.0,26003301.0,600323657.0
2022-06,NAM,3810971.0,11703.0,13743998.0,600323657.0
2022-07,NAM,5308125.0,17538.0,12012786.0,600323657.0
2022-08,NAM,3462254.0,17663.0,10646870.0,600323657.0
2022-09,NAM,2100287.0,15052.0,22296183.0,600323657.0
2022-10,NAM,1398705.0,13862.0,28985086.0,600323657.0
2022-11,NAM,1303325.0,11430.0,16556980.0,600323657.0
2022-12,NAM,2476540.0,15601.0,10544150.0,600323657.0
2023-01,NAM,1802031.0,17403.0,6294144.0,600323657.0
2023-02,NAM,1257710.0,13868.0,3319483.0,600323657.0
2023-03,NAM,843727.0,9239.0,4642638.0,600323657.0
2023-04,NAM,673389.0,8167.0,2017300.0,600323657.0
2023-05,NAM,254079.0,3872.0,1719043.0,600323657.0
2023-06,NAM,44733.0,489.0,613911.0,600323657.0
2023-07,NAM,41752.0,380.0,230402.0,600323657.0
2023-08,NAM,38057.0,241.0,140224.0,600323657.0
2023-09,NAM,35804.0,243.0,15432.0,600323657.0
2023-10,NAM,1386.0,61.0,34.0,600323657.0
2023-11,NAM,0.0,0.0,0.0,600323657.0
