date_day,loc,total_cases,total_deaths,total_vaccinations,total_population
2020-01,RSI,0.0,0.0,0.0,144713312.0
2020-02,RSI,2.0,0.0,0.0,144713312.0
2020-03,RSI,2335.0,17.0,0.0,144713312.0
2020-04,RSI,104161.0,1056.0,0.0,144713312.0
2020-05,RSI,299345.0,3620.0,0.0,144713312.0
2020-06,RSI,242006.0,4627.0,0.0,144713312.0
2020-07,RSI,192132.0,4643.0,0.0,144713312.0
2020-08,RSI,155338.0,3213.0,0.0,144713312.0
2020-09,RSI,180967.0,3546.0,0.0,144713312.0
2020-10,RSI,441830.0,7268.0,0.0,144713312.0
2020-11,RSI,677538.0,11905.0,0.0,144713312.0
2020-12,RSI,863643.0,17124.0,441571.0,144713312.0
2021-01,RSI,691142.0,16163.0,1868071.0,144713312.0
2021-02,RSI,395640.0,12940.0,2479064.0,144713312.0
2021-03,RSI,299016.0,12728.0,5868032.0,144713312.0
2021-04,RSI,260193.0,11278.0,8111630.0,144713312.0
2021-05,RSI,266629.0,11373.0,9185739.0,144713312.0
2021-06,RSI,442682.0,13713.0,10490530.0,144713312.0
2021-07,RSI,751274.0,23349.0,20973980.0,144713312.0
2021-08,RSI,653092.0,24661.0,19859200.0,144713312.0
2021-09,RSI,592061.0,24031.0,10301046.0,144713312.0
2021-10,RSI,1002764.0,31283.0,13182991.0,144713312.0
2021-11,RSI,1123091.0,36655.0,21919036.0,144713312.0
2021-12,RSI,863101.0,33667.0,20236821.0,144713312.0
2022-01,RSI,1361095.0,22489.0,8510102.0,144713312.0
2022-02,RSI,4536959.0,20311.0,7430153.0,144713312.0
2022-03,RSI,1444889.0,17062.0,2622670.0,144713312.0
2022-04,RSI,339429.0,7162.0,2681528.0,144713312.0
2022-05,RSI,149009.0,3233.0,706423.0,144713312.0
2022-06,RSI,98876.0,1995.0,1846568.0,144713312.0
2022-07,RSI,171480.0,1321.0,1654808.0,144713312.0
2022-08,RSI,927250.0,1913.0,3438364.0,144713312.0
2022-09,RSI,1456787.0,2923.0,3915039.0,144713312.0
2022-10,RSI,443750.0,2906.0,2443947.0,144713312.0
2022-11,RSI,161322.0,1827.0,2018796.0,144713312.0
2022-12,RSI,207681.0,1710.0,1633094.0,144713312.0
2023-01,RSI,151683.0,1355.0,618506.0,144713312.0
2023-02,RSI,322278.0,1033.0,1219905.0,144713312.0
2023-03,RSI,364119.0,1145.0,902185.0,144713312.0
2023-04,RSI,214620.0,1060.0,63019.0,144713312.0
2023-05,RSI,77940.0,752.0,51155.0,144713312.0
2023-06,RSI,30049.0,506.0,6647.0,144713312.0
2023-07,RSI,15091.0,251.0,194011.0,144713312.0
2023-08,RSI,16259.0,169.0,248744.0,144713312.0
2023-09,RSI,38856.0,64.0,208624.0,144713312.0
2023-10,RSI,69330.0,148.0,0.0,144713312.0
2023-11,RSI,0.0,0.0,0.0,144713312.0
