date_day,loc,total_cases,total_deaths,total_vaccinations,total_population
2020-01,USA,8.0,0.0,0.0,338289856.0
2020-02,USA,61.0,1.0,0.0,338289856.0
2020-03,USA,173074.0,3326.0,0.0,338289856.0
2020-04,USA,857163.0,57134.0,0.0,338289856.0
2020-05,USA,755116.0,44864.0,0.0,338289856.0
2020-06,USA,821191.0,22925.0,0.0,338289856.0
2020-07,USA,1884228.0,28717.0,0.0,338289856.0
2020-08,USA,1524538.0,31831.0,0.0,338289856.0
2020-09,USA,1201705.0,21361.0,0.0,338289856.0
2020-10,USA,1815557.0,23448.0,0.0,338289856.0
2020-11,USA,4374916.0,41105.0,0.0,338289856.0
2020-12,USA,6170028.0,77292.0,4171482.0,338289856.0
2021-01,USA,6285448.0,100119.0,30178374.0,338289856.0
2021-02,USA,2467058.0,67730.0,47821499.0,338289856.0
2021-03,USA,1776581.0,33397.0,80937423.0,338289856.0
2021-04,USA,1832202.0,20768.0,91709747.0,338289856.0
2021-05,USA,981676.0,17442.0,57265189.0,338289856.0
2021-06,USA,385721.0,9459.0,25898051.0,338289856.0
2021-07,USA,1373312.0,9045.0,16140235.0,338289856.0
2021-08,USA,4114589.0,31496.0,23941930.0,338289856.0
2021-09,USA,4185050.0,54691.0,22153922.0,338289856.0
2021-10,USA,2660463.0,48578.0,29225701.0,338289856.0
2021-11,USA,2444998.0,31309.0,41906682.0,338289856.0
2021-12,USA,5449603.0,43017.0,46746787.0,338289856.0
2022-01,USA,20444764.0,65001.0,30797819.0,338289856.0
2022-02,USA,4380740.0,63682.0,12164967.0,338289856.0
2022-03,USA,1022157.0,30074.0,6405800.0,338289856.0
2022-04,USA,1163440.0,13263.0,13398280.0,338289856.0
2022-05,USA,2698000.0,9953.0,11146722.0,338289856.0
2022-06,USA,3066561.0,9885.0,7600129.0,338289856.0
2022-07,USA,3922935.0,13117.0,7912635.0,338289856.0
2022-08,USA,2879420.0,13716.0,5546442.0,338289856.0
2022-09,USA,1858371.0,12795.0,11817319.0,338289856.0
2022-10,USA,1204618.0,11815.0,20058110.0,338289856.0
2022-11,USA,1125356.0,9574.0,13139069.0,338289856.0
2022-12,USA,2111048.0,12963.0,8432444.0,338289856.0
2023-01,USA,1522698.0,14578.0,4492014.0,338289856.0
2023-02,USA,1085170.0,12111.0,2009254.0,338289856.0
2023-03,USA,678002.0,7909.0,1638571.0,338289856.0
2023-04,USA,568838.0,7009.0,1418847.0,338289856.0
2023-05,USA,170425.0,3089.0,677092.0,338289856.0
2023-06,USA,0.0,0.0,0.0,338289856.0
2023-07,USA,0.0,0.0,0.0,338289856.0
2023-08,USA,0.0,0.0,0.0,338289856.0
2023-09,USA,0.0,0.0,0.0,338289856.0
2023-10,USA,0.0,0.0,0.0,338289856.0
2023-11,USA,0.0,0.0,0.0,338289856.0
